おはよう,お早う,Good morning,0
おはようございます,お早う御座います,Good morning (polite),0
こんにちは,,Good afternoon,0
こんばんは,,Good evening,0
さようなら,,Goodbye (for a long time),0
おやすみ,,Good night,0
おやすみなさい,,Good night (polite),0
ありがとう,,Thank you,0
ありがとうございます,,Thank you (polite),0
すみません,,Excuse me; I'm sorry,0
いいえ,,No; Not at all,0
いってきます,,I'm leaving home and coming back,0
いってらしゃい,,Please leave home and come back,0
ただいま,,I'm home,0
おかえり,,Welcome home,0
おかえりなさい,,Welcome home (polite),0
いただきます,,Thanks for the meal (before eating),0
ごちそうさま,,Thanks for the meal (after eating),0
ごちそうさまでした,,Thanks for the meal (after eating) (polite),0
はじめまして,,How do you do?,0
〜です,,I am...,0
よろしくおねがいします,,Nice to meet you,0
ゼロ;れい,,0,0
いち,一,1,0
に,二,2,0
さん,三,3,0
よん;し;よ,四,4,0
ご,五,5,0
ろく,六,6,0
なな;しち,七,7,0
はち,八,8,0
きゅう;く,九,9,0
じゅう,十,10,0
ひゃく,百,100,0
あの,,um...,1
いま,今,now,1
えいご,英語,English (language),1
がくせい,学生,student,1
〜ご,〜語,language,1
こうこう,高校,high school,1
ごご,午後,P.M.,1
ごぜん,午前,A.M.,1
〜さい,〜歳,...years old,1
〜さん,,Mr./Ms....,1
〜じ,〜時,o'clock,1
〜じん,〜人,people,1
せんせい,先生,teacher; Professor ...,1
せんもん,専門,major,1
そうです,,That's right.,1
だいがく,大学,college; university,1
でんわ,電話,telephone,1
ともだち,友達,friend,1
なまえ,名前,name,1
なん／なに,何,what,1
にほん,日本,Japan,1
〜ねんせい,〜年生,...year student,1
はい,,ys,1
はん,半,half,1
ばんごう,番号,number,1
りゅうがくせい,留学生,international student,1
わたし,私,I,1
アメリカ,,U.S.A.,1
イギリス,,Britain,1
オーストラリア,,Australia,1
かんこく,韓国,Korea,1
スウェーデン,,Sweden,1
ちゅうごく,中国,China,1
かがく,科学,science,1
アジアけんきゅう,アジア研究,Asian studies,1
こくさいかんけい,国際関係,international relations,1
コンピューター,,computer,1
じんるいがく,人類学,anthropology,1
せいじ,政治,politics,1
ビジネス,,business,1
ぶんがく,文学,literature,1
れきし,歴史,history,1
しごと,仕事,job; work; occupation,1
いしゃ,医者,doctor,1
かいしゃいん,会社員,office worker,1
こうこうせい,高校生,high school student,1
しゅふ,主婦,housewife,1
だいがくいんせい,大学院生,graduate student,1
だいがくせい,大学生,college student,1
べんごし,弁護士,lawyer,1
おかあさん,お母さん,mother,1
おとうさん,お父さん,father,1
おねえさん,お姉さん,older sister,1
おにいさん,お兄さん,older brother,1
いもうと,妹,younger sister,1
おとうと,弟,younger brother,1
これ,,this one,2
