一,イチ; イッ; ひと,one,3
一,いち,one
一時,いちじ,one o'clock
一年生,いちねんせい,first-year student
一分,いっぷん,one minute
一つ,ひとつ,one
一万,いちまん,ten thousand
一人で,ひとりで,alone
一月,いちがつ,January
一年中,いちねんじゅう,all year round
一行目,いちぎょうめ,first line
一生に一度,いっしょうにいちど,once in a life time
一週間,いっしゅうかん,one week
一人旅,ひとりたび,traveling alone
一度,いちど,once
一枚,いちまい,one sheet
一番,いちばん,the most; number 1
一割引,いちわりびき,10% off
第一位,だいいちい,the 1st place
二,ニ; ふた,two,3
二,に,two
二時,にじ,two o'clock
二年生,にねんせい,second-year student
二つ,ふたつ,two
二日間,ふつかかん,two days
二時間,にじかん,two hours
二十歳,にじゅうさい,twenty-five years old
二十歳,はたち,twenty years old
二台,にだい,two vechicles/machines/etc.
三,サン; みっ,three,3
三,さん,three
三時,さんじ,three o'clock
三年生,さんねんせい,third-year student
三つ,みっつ,three
三百,さんびゃく,three hundred
三千,さんぜん,three thousand
三日,みっか,three days
三人,さんにん,three people
三時半,さんじはん,half past three
三十度,さんじゅうど,30 degrees
三世,さんせい,third generation
四,よん; よ; よっ; シ,four,3
四,よん,four
四時,よじ,four o'clock
四つ,よっつ,four
四月,しがつ,April
四年生,よねんせい,fourth-year student
五,ゴ; いつ,five,3
五,ご,five
五時,ごじ,five o'clock
五つ,いつつ,five
五分,ごふん,five minutes
六,ロク; ロッ; むっ,six,3
六,ろく,six
六時,ろくじ,six o'clock
六百,ろっぴゃく,six hundred
六分,ろっぷん,six minutes
六つ,むっつ,six
六百,ろっぴゃく,six hundred
七,シチ; なな,seven,3
七,なな,seven
七時,しちじ,seven o'clock
七つ,ななつ,seven
八,ハチ; ハッ; やっ,eight,3
八,はち,eight
八時,はちじ,eight o'clock
八百,はっぴゃく,eight hundred
八歳,はっさい,eight years old
八つ,やっつ,eight
八千,はっせん,eight thousand
九,キュウ; ク; ここの,nine,3
九,きゅう,nine
九時,くじ,nine o'clock
九歳,きゅうさい,nine years old
九つ,ここのつ,nine
十,ジュウ; ジュッ; とお,ten,3
十,じゅう,ten
十時,じゅうじ,ten o'clock
十歳,じゅっさい,ten years old
十,とお,ten
十万,じゅうまん,one hundred thousand
十分,じゅっぷん,ten minutes
三十度,さんじゅうど,30 degrees
赤十字,せきじゅうじ,the Red Cross
二十歳,にじゅうさい,twenty-five years old
二十歳,はたち,twenty years old
百,ヒャク; ピャク; ビャク,hundred,3
六百,ろっぴゃく,six hundred
八百,はっぴゃく,eight hundred
百,ひゃく,hundred
三百,さんびゃく,three hundred
