これは私のです,,This is mine

私, わたし
私, わたくし
僕, ぼく
俺, おれ

あなた, ,you
彼女,  かのじょ, she
彼, かれ, he
彼ら , かれら, They 
私たち, わたしたち, we
あの人たち,, Those people
我々,われわれ,we 

昨日,   きのう,kinou = yesterday
今日,   きょう,kyou = today
明日,   あした,ashita = tomorrow
先週,   せんしゅう   senshuu = last week
今週,   こんしゅう   konshuu = this week
来週,   らいしゅう   raishuu = next week
去年,   きょねん   kyonen = last year
今年,   ことし   kotoshi = this year
来年,   らいねん   rainen = next year

あした がっこうに いきます,I will go to school tomorrow.
きのう レストランに いきました,I went to a restaurant yesterday

まっすぐ,   massugu = straight   ex.Massugu ikimasu. (Go straight.)
右,   みぎ   migi = right   ex.Migi desu. (It's to the right.)
左,   ひだり   hidari = left   ex.Hidari ni magarimasu. (Turn left.)
あそこ,   asoko = over there   ex.Toire wa asoko desu. (Toilet is over there.)
あっち,   acchi = that way   ex.Acchi desu. (That way.)
こっち,   kocchi = this way   ex.Kocchi desu. (This way.)
後ろ,   うしろ ushiro = behind, back   ex.Ushiro ni arimasu. (It's behind.)

北,   きた   kita = North   ex.Kita xe massugu ikimasu. (Go straight north.)
東,   ひがし   higashi = East   ex.Higashi ni eki ga arimasu. (Station is east.)
南,   みなみ   minami = South   ex.Minami e ikimasu. (Go south.)
西,   にし   nishi = West   ex.Nishi desu ka? (Is it west?)

トイレは どこですか, Toire wa doko desu ka. = Where is the toilet?
トイレは どっちですか, Toire wa docchi desu ka. = Which way is the toilet?

