ただいま。,I’m home.
はるさん、新しい住人が着きましたよ。,Haru-san, the new residenz, has arrived.
はーい{ハーい}。, OK
ようこそいらっしゃいました。, "Welcome!" (very polite and warm version)
え、ロボット？, Oh, a robot?
そう。大家のはるさんです。, That's right. This is our landlady, Haru-san
はじめまして。,Hello.
タムです。学生です, I’m Tam. I’m a student
よろしくお願いします, Nice to meet you.
,
新しい,   あたらしい　new
住人,　じゅうに　dweller　resident
着く,　つく 到达、抵达、到
東京に着く
ようこそ
いらっしゃる, is a very polite (honorific) way to say "to come" or "to be present".
はじめまして。, Nice to meet you.
初めまして, はじ
始める, はじ
学生, がくせい
よろしく, well; properly; best regards; please remember me; just like ...; as though one were ...
お願いします, please, 願(ねが)
ロボット, robot
大家, andlord/landlady
会社員, かい　しゃいん
教師, きょうし
先生, せんせい
