すみません。,Sumimasen.,Excuse me.,
はい。,Hai.,Yes.,
この電車は池袋に行きますか。,Kono densha wa Ikebukuro ni ikimasu ka.,Does this train go to Ikebukuro?,
いいえ、行きません。,Iie, ikimasen.,No, it doesn’t.,
池袋は山手線です。,Ikebukuro wa Yamanote-sen desu.,Ikebukuro is on the Yamanote Line.,
山手線はどこですか。,Yamanote-sen wa doko desu ka.,Where is the Yamanote Line?,
3番線です。,San-ban-sen desu.,Platform number three.,
わかりました。,Wakarimashita.,I see.,
ありがとうございます。,Arigatoo gozaimasu.,Thank you very much.,#5,,,すみません,sumimasen,excuse me,,
,
はい,hai,yes,,
この,kono,this,,
電車,densha,train,,
池袋,Ikebukuro,Ikebukuro,,
行く,iku,go,,
いいえ,iie,no,,
山手線,Yamanote-sen,Yamanote Line,,
どこ,doko,where,,
3,san,three,,
～番線,～ban-sen,platform number XXX,,
わかる,wakaru,understand,,
ありがとうございます,arigatoo gozaimasu,thank you very much,
