札幌,（さっぽろ / Sapporo）—— 札幌（北海道最大城市）
東京,（とうきょう / Tōkyō）—— 东京（首都）
大阪,（おおさか / Ōsaka）—— 大阪
名古屋,（なごや / Nagoya）—— 名古屋
横浜,（よこはま / Yokohama）—— 横滨
神戸,（こうべ / Kōbe）—— 神户
京都,（きょうと / Kyōto）—— 京都（古都）

北海道,（ほっかいどう / Hokkaidō）
青森県,（あおもりけん / Aomori-ken）
埼玉県,（さいたまけん / Saitama-ken）
千葉県,（ちばけん / Chiba-ken）
東京都,（とうきょうと / Tōkyō-to）
神奈川県,（かながわけん / Kanagawa-ken）
京都府,（きょうとふ / Kyōto-fu）
大阪府,（おおさかふ / Ōsaka-fu）
奈良県,（ならけん / Nara-ken）
沖縄県,（おきなわけん / Okinawa-ken）

渋谷,（しぶや / Shibuya）—— 涩谷（潮流中心）
新宿,（しんじゅく / Shinjuku）—— 新宿（繁华区）
銀座,（ぎんざ / Ginza）—— 银座（高端购物区）
秋葉原,（あきはばら / Akihabara）—— 秋叶原（电器/动漫街）
上野,（うえの / Ueno）—— 上野（公园、博物馆）
浅草,（あさくさ / Asakusa）—— 浅草（传统寺庙区）
池袋,（いけぶくろ / Ikebukuro）—— 池袋
原宿,（はらじゅく / Harajuku）—— 原宿（时尚街）
六本木,（ろっぽんぎ / Roppongi）—— 六本木（夜生活区）
品川,（しながわ / Shinagawa）—— 品川（交通枢纽）
羽田,（はねだ / Haneda）—— 羽田（机场）

市,（し / shi）—— 市（城市）
区,（く / ku）—— 区（东京等大城市的行政区，如中央区）
町,（まち / machi）—— 町（镇、小区）
村,（むら / mura）—— 村
駅,（えき / eki）—— 车站（如東京駅 / Tōkyō-eki）
空港,（くうこう / kūkō）—— 机场（如成田空港 / Narita Kūkō）
山,（やま / yama）—— 山（如富士山 / Fujisan）
川,（かわ / kawa）—— 河（如隅田川 / Sumidagawa）

日本国, 　 にほんこく
日本語,　 にほんご

沼津市, ぬまづし
